Device,Date Time,Water Activity,°C,Sample Number,Replicate,Sensor
S40004969,4/20/21 9:44,0.9328,24.47,409348207,1,DEWPOINT
S40004969,4/20/21 9:47,0.9342,24.75,409348207,2,DEWPOINT
S40004969,4/20/21 9:49,0.9352,24.88,409348207,1,DEWPOINT
S40004969,4/20/21 10:15,0.613,24.5,409330442,1,DEWPOINT
S40004969,4/20/21 10:18,0.6153,24.84,409330442,1,DEWPOINT
S40004969,4/20/21 10:21,0.6168,24.98,409330442,1,CAPACITANC
S40004969,4/20/21 10:23,0.6176,25.04,409330442,1,CAPACITANC
S40004969,4/20/21 10:31,0.5903,24.56,409330449,1,CAPACITANC
S40004969,4/20/21 10:34,0.5926,24.86,409330449,3,CAPACITANC
S40004969,4/20/21 10:36,0.5934,25,409330449,10,CAPACITANC
S40004969,4/20/21 10:44,0.6046,24.53,409330458,5,CAPACITANC
